SquareFeet,Bedrooms,Bathrooms,Age,LocationScore,Price
3577,2,1,5,1,691762.3137171088
2533,3,4,26,5,780599.9847474833
4310,5,2,1,1,900651.1726665016
1002,5,3,28,4,549584.5618469049
4055,1,1,37,5,859983.4720394206
1566,1,1,2,3,463053.8190475774
3127,3,4,15,1,668780.3116191927
3731,4,3,29,2,836045.6844322626
997,2,2,39,1,290133.11928337
2730,1,4,1,3,696794.1495803618
4382,5,2,16,5,1064341.7555911534
1408,3,1,40,3,468391.97397486627
4072,2,2,11,2,841425.8699608828
1947,3,2,34,4,607803.1645451783
4197,2,4,42,1,802607.2412970484
3311,2,2,0,5,866347.859279427
2594,1,4,44,4,661496.6114801897
1459,3,1,14,3,495683.3348853107
3611,3,4,25,5,963392.2134148588
2169,5,4,36,4,732409.1583996878
2786,5,3,20,5,840955.9629528888
946,1,2,48,2,300321.25975909655
4019,1,1,30,2,736452.8768436203
3711,4,4,24,1,808235.8546676352
2534,5,1,22,1,602859.0511929381
2643,2,3,23,2,589402.7549070176
1288,3,2,37,5,524773.2423413146
3776,1,4,27,2,772152.9165488435
2759,3,2,20,1,595337.1037928876
3185,3,3,42,2,686607.845968718
3719,4,3,17,2,840684.6809402828
2602,5,1,35,5,777072.1041341077
4861,1,4,34,4,1019235.9630203223
4169,3,1,44,1,758013.1274976246
1062,1,3,8,5,521030.6068962485
1423,2,2,37,2,427281.1066963244
1816,4,1,29,2,494146.5777423019
4443,2,1,43,4,912267.4962426777
2849,1,2,33,1,557718.1149811799
4523,1,1,31,1,780079.5593037952
3908,5,2,2,3,928109.0419900515
4890,3,4,2,1,984594.7972758701
2856,3,2,27,4,713759.6586873906
3970,2,4,43,3,879274.53487279
2482,4,2,14,3,680390.2078649402
3055,3,3,40,2,681077.6028315673
1954,5,3,22,2,588761.4876866783
3991,2,4,39,1,776086.4403253078
2496,2,4,10,3,645431.9804483261
4791,5,3,47,2,1013074.0734117986
2448,4,4,31,4,738819.8844840593
2245,5,2,35,2,609395.0319567106
4999,4,2,32,2,1008123.2465586106
4723,5,3,23,3,1034132.5631365955
1053,5,1,38,3,455052.0784855284
3983,1,2,33,5,896435.3836365181
3357,2,4,27,4,841251.5616282474
898,5,1,36,3,394791.5886947276
3000,5,1,6,1,680513.5854963809
3761,3,2,3,4,893107.6901632405
4577,2,2,36,4,973033.9442595124
3669,3,1,0,3,835400.6628105231
4034,2,1,0,4,892485.6115776696
4591,3,3,46,3,945967.3920373593
1756,5,4,19,2,579740.01947164
4867,5,3,18,5,1152600.366590272
960,1,2,28,2,329629.75543178193
2100,3,3,9,3,614461.8919932883
4787,4,3,17,3,996445.1767101754
2327,1,3,27,2,535427.6691506729
2018,3,3,34,1,477121.8426873404
3904,3,4,42,1,761130.8627680858
3535,1,4,46,1,657688.6004266614
1754,5,1,30,3,562741.1270774945
4246,3,2,26,4,971829.6124237234
1845,5,3,10,3,635447.7671079747
2493,1,1,48,4,589852.4491767639
4236,5,1,48,2,877238.5629275605
1362,2,1,37,5,503413.6453467151
3285,4,4,4,4,880330.9944625528
4154,3,3,7,1,822784.5599765052
1025,4,3,33,3,433472.5678987242
1759,5,2,47,2,512001.1444016083
3867,3,3,11,1,795420.802348802
1615,5,3,37,2,522800.64494977664
3920,2,1,0,5,924760.4960807896
816,1,2,30,3,324213.8090895483
2043,3,3,3,3,626573.6928752746
3005,2,4,48,5,779993.0212008012
3324,2,3,44,3,755240.4187076521
1869,3,1,49,4,539316.7447160991
4244,5,4,4,2,958313.4714397045
3365,2,1,29,1,616748.2221407648
1860,4,3,23,5,677478.9677967154
3127,2,4,2,4,833679.6868771696
4220,5,2,10,1,886734.4213266594
1101,5,2,44,1,391826.33168042055
1406,4,4,3,5,662732.138189009
3970,2,4,25,4,905944.9525720445
1499,5,1,26,1,431888.16163508664
1939,3,4,45,1,476147.01306323806
990,1,1,42,4,399458.6235605856
3100,1,3,26,3,685048.1703036054
1780,1,1,41,1,377405.4653408367
3775,2,4,49,2,792644.3080516316
1984,4,4,5,4,722044.3030257414
4127,5,3,14,1,872904.7011105575
4194,3,4,29,5,1032784.8323937025
927,3,4,41,2,419274.77754808264
2865,2,2,36,1,565485.3748459945
2616,1,2,36,2,534374.3962870146
1369,2,3,41,2,380149.84949138353
2695,4,1,36,3,681940.68043292
3533,4,2,34,2,743702.7468791213
4663,5,1,22,3,999865.2142059312
4814,5,4,5,4,1150659.6978055844
3701,4,2,3,3,875927.6330524487
2486,4,3,17,5,791281.6729627625
3809,4,3,8,1,815684.3478370128
954,2,3,48,4,448282.9871997009
3337,4,2,28,4,824265.254288918
2209,3,1,12,5,677195.072923122
4857,1,4,46,3,952960.1083209376
1584,4,1,16,1,447052.87717793917
3975,1,1,44,3,793755.978825926
3606,2,4,31,2,778668.3797897776
1337,1,4,47,3,453302.40500334895
2641,2,2,21,4,673479.3869893543
3255,3,2,3,1,716258.3616732671
1324,2,2,4,3,488448.5793256839
3750,2,2,36,1,718534.3299586863
4931,5,2,40,1,982376.9836315659
4915,4,4,48,2,976400.6518848334
3168,4,1,12,2,713333.2779560603
4647,3,2,33,4,994020.4480897707
3501,3,2,44,5,877972.1898563602
1771,4,1,21,1,441897.8889059678
1966,5,2,22,5,720262.4272400623
3574,4,1,2,4,902658.0421599507
2782,5,1,41,1,624728.04350126
1653,3,4,33,1,461206.2653549225
4946,1,3,31,5,1050081.8998864887
4536,3,4,44,3,955697.2355081196
4569,3,3,48,2,925094.28357945
1374,2,3,20,3,486790.23505858
4061,2,3,45,5,942564.7072093368
1948,2,2,43,2,468931.35681351164
2515,2,4,20,3,633862.8819033294
4654,5,3,43,2,958037.2137197334
3291,4,1,10,1,725321.2863070959
3460,1,2,38,3,707793.166434963
3924,3,4,3,2,875442.1973183162
3851,5,3,0,2,911761.6595979279
804,1,1,27,2,257776.15997996563
1676,5,4,23,3,613170.6571217163
1791,5,4,34,4,675718.7330626599
4942,3,2,12,3,1025487.4898286087
1435,4,4,46,5,659276.0458350015
2493,2,2,33,3,586921.011116827
2482,4,3,10,2,672180.9279482582
919,3,2,35,1,306257.973939053
1630,3,1,16,3,518078.80232255015
4475,3,2,34,3,939869.6072754887
2169,1,1,17,2,480352.65704335005
1540,4,2,39,1,426434.9458868901
916,4,4,21,1,355531.47822902567
3638,5,3,23,5,985748.7125085709
1950,5,1,18,3,606972.3769898579
2731,5,2,36,1,639229.9025296465
1812,3,2,38,1,455671.77487630723
2464,4,2,20,4,721114.2976031457
1881,3,4,7,4,654371.3412969741
1312,1,4,27,1,348583.9749500806
3649,5,1,4,5,950666.6885452642
1359,3,1,16,1,393651.01930265996
4472,3,4,36,2,943345.0310855897
4143,1,1,35,3,810878.3434553192
4870,2,3,18,5,1092190.041208799
2270,4,3,26,2,594930.7843750935
1380,2,4,33,5,588591.3526790116
3094,5,1,10,2,747081.2523553767
3947,3,2,44,3,873168.2615469563
2479,1,3,46,3,576675.1538423039
4306,1,4,11,4,956229.8815147268
3544,4,1,20,2,773071.6888378835
4156,2,4,10,4,975097.3430658865
4845,4,2,38,2,961514.9854367855
2043,3,3,27,4,625355.5836431945
3918,4,4,4,3,953921.1129338535
2941,1,4,16,5,807967.0304381837
3859,1,4,19,4,873105.8884915442
3759,5,2,40,2,845181.6420165824
3065,5,4,45,2,769302.9806379491
3279,3,2,11,3,778864.4474587169
2435,2,2,5,2,587443.9679356406
2557,4,2,16,1,606860.8665667386
2870,3,3,18,5,803574.4539461561
3649,5,3,25,4,931800.4721874612
4051,4,4,47,5,975364.2468308622
4530,5,4,43,3,1031646.834682544
3289,4,3,43,4,810927.6016633721
2431,2,1,31,4,654201.2974264349
3616,3,3,5,1,756448.1985905032
1815,4,2,35,3,555074.9952710323
2148,1,3,37,2,494783.9914087324
3887,1,2,10,1,724729.4168911688
3639,4,4,32,1,802127.9701772205
1135,4,1,23,5,502932.8701519738
1695,4,4,22,5,698404.4807913228
4346,1,2,14,5,978970.3522165256
1651,1,2,26,1,359544.6752821418
2487,4,2,10,2,622920.3141042615
2731,5,1,49,4,758795.895408123
4546,5,3,16,5,1105717.3968008591
3227,2,4,13,2,715749.7423410607
2368,3,4,26,3,678259.718135471
4800,5,3,17,5,1162078.2931442887
3538,1,4,27,4,816631.116351954
4298,5,1,46,3,929949.3746310693
4713,2,4,46,3,952563.7097453958
1866,2,2,3,4,609412.320976339
3244,3,3,6,5,900520.564473097
4907,5,1,44,1,938030.0929823292
4173,1,3,34,4,906374.9159187053
4769,1,1,47,4,967767.8218730106
3346,4,2,8,4,859895.2949108233
1553,1,3,7,3,472221.88811868796
2882,3,4,44,2,682042.1086924846
3574,3,1,16,1,739390.7057430567
3696,1,3,16,5,877178.6076022122
4985,1,4,48,5,1066328.0584995903
1575,4,3,32,2,504496.6905715218
2425,1,3,31,4,640941.4272649139
3869,4,3,7,1,807615.4462943403
1217,4,1,18,5,574377.867843457
914,1,4,37,5,506900.61083025887
1416,2,2,2,4,529341.9718853586
4774,2,1,4,2,906538.97565396
4067,4,1,12,1,787815.5921241979
1625,1,1,46,2,384619.6397183177
2316,2,2,45,2,544958.1601497439
3946,1,4,30,1,761027.5161974307
1212,1,4,15,1,358763.9423862172
1528,1,4,49,5,543360.9252231604
4148,5,3,31,5,1028817.5455092286
3608,1,3,21,1,706721.2698948733
1475,5,3,28,3,570956.5743207838
4265,4,2,21,5,1006564.053199639
3304,2,3,42,3,766447.5846727103
3767,2,2,2,1,752661.06831341
3586,2,4,9,5,946893.9196771869
1922,2,3,41,2,471168.0837727233
4879,2,3,20,1,890362.6376687684
2371,2,1,15,4,636415.4603534905
2943,2,2,11,3,708991.7664034279
2487,4,4,1,1,665995.4123439045
4932,1,1,40,1,848391.183707227
4651,3,1,23,5,1039009.7808478195
4240,5,4,34,5,1058604.4618850115
4566,3,1,29,5,1042350.0085907873
3126,3,2,29,4,766429.4186137393
3714,1,2,46,5,871527.0283215848
4752,1,3,34,1,848534.2302559024
1395,1,1,18,5,533108.7310892678
1528,2,3,49,2,434383.96935088915
2165,4,1,7,5,708695.0676583631
1498,2,2,25,4,507909.0544226081
1195,4,2,48,2,402136.3818398088
4971,4,2,39,1,944074.7503856285
3302,3,1,6,1,678457.3474432657
2619,3,2,29,3,650942.8288789694
1517,4,1,6,2,477065.52884523553
3582,4,3,2,3,875478.6554457872
4377,2,1,0,2,832618.9885837778
943,2,3,35,2,357322.5217218305
3940,3,1,24,4,875304.1816292478
3738,1,3,36,3,771400.0139519138
4436,4,2,0,4,1006089.8347933394
4022,2,3,14,2,806391.6125319817
1967,3,2,36,1,444718.2874533157
3416,2,2,12,2,715764.6856355426
1862,4,3,39,4,653598.8870628985
2956,4,1,7,3,731511.804861572
3782,5,1,4,3,893966.2515940205
4094,1,4,8,4,939107.220797595
1956,5,1,0,3,623365.9777932378
1532,3,4,35,5,615638.3480891101
1753,2,1,34,1,374020.5935460113
3339,3,1,1,1,709613.9132241881
4124,4,2,39,1,837707.9496545682
4101,5,4,22,3,949910.1195881597
2342,5,1,8,3,655939.5711367043
1991,5,4,33,2,598452.8448643449
3793,3,2,45,2,760481.9330763471
3481,4,2,13,1,747739.4833018379
2017,2,4,3,5,685625.9169639008
2340,2,2,29,2,580475.841017099
4036,3,3,30,2,862258.2289151539
3186,5,3,37,3,808088.6104594832
4519,1,2,10,5,1019254.793949796
2188,3,3,34,1,534788.5063653596
2656,3,1,7,2,615940.7876791264
2165,4,4,2,5,757506.7413318706
1299,2,1,13,5,526022.1459445447
2480,3,4,12,1,614924.5418674692
1310,3,2,44,5,540585.9059798013
2124,5,1,31,5,681945.0527671351
1955,5,2,33,5,684207.6333407373
2627,1,2,44,2,549940.4070460843
3941,4,4,18,1,839015.0159351125
4286,1,4,37,5,1007488.1326518471
2610,5,4,15,5,827710.180864015
3723,2,1,1,2,773033.8386275381
3014,5,3,39,1,709436.6966249243
4986,4,4,16,3,1122971.746181342
1513,5,4,33,2,524884.0386522405
4402,4,1,41,1,839671.441790803
4934,4,4,15,5,1180646.4053579797
4322,4,1,37,1,827232.2259732994
2043,4,2,1,1,534967.3219814104
4509,4,4,1,1,948889.6308425007
1881,2,4,25,3,526166.3087217048
1255,1,2,12,1,342481.0423509395
1694,3,2,46,3,505992.6685549295
2184,1,2,30,5,630262.876548326
2758,4,4,33,3,768402.9329357934
3872,2,3,38,5,911675.9897181417
2796,5,3,2,5,865353.8601640245
1304,2,3,7,3,507473.299533071
2014,4,4,22,2,579619.0804272521
2331,2,2,13,4,644398.2707559519
4240,2,4,26,1,824794.6186485372
1623,4,2,28,4,594061.0172319432
1728,2,4,38,1,441317.0376102997
933,3,4,38,1,324560.61979271605
2905,3,2,0,5,813767.4715530921
4427,2,3,16,1,837939.6835018168
2652,5,2,40,1,612641.6843216543
4975,4,1,29,3,1026637.6548794474
3733,3,1,12,4,877223.0863383196
4084,5,2,20,3,911959.823689274
3611,2,4,18,1,756609.1148134129
2050,5,1,18,5,711288.5326899494
4312,1,1,24,3,871567.9807139086
2056,3,4,21,3,626062.97490936
4176,2,4,30,2,874919.8443660365
4286,4,3,16,1,882898.1796717519
4384,2,4,22,5,1052793.3863430412
2196,4,2,31,3,627233.7595402667
4437,2,2,9,3,926081.2713033564
4130,5,3,9,5,1098586.5208067033
3503,5,1,35,1,741785.5568341984
1270,5,1,7,2,475106.1663150662
2153,1,4,19,3,566805.433751925
3583,4,2,31,2,763125.385738047
3631,5,1,49,4,873040.7322321278
1157,1,3,13,1,336732.81796652364
3819,4,3,49,4,898638.1615248752
1467,2,2,27,4,511164.7404941809
1945,1,3,45,4,579579.403920654
4985,3,3,23,1,959181.0371182545
4519,1,2,14,1,802734.872353709
3545,1,4,21,5,881077.3675928558
1339,4,4,29,2,471775.50278721156
3579,2,3,3,2,772034.5012538716
4936,3,4,12,5,1144195.7650155553
4575,5,4,22,5,1129085.31626094
3308,5,3,7,4,879372.969420399
3579,1,4,17,5,889935.1797772271
1724,4,3,11,3,578190.8854472904
3756,4,1,30,2,747458.2696499659
2381,5,2,13,5,810944.580367525
4124,3,2,33,3,897931.5448132501
1055,2,4,17,3,442605.48912612506
2638,3,4,33,3,694982.285746109
2744,2,4,10,3,691025.1847902365
809,5,2,40,4,497785.84316716297
3671,2,1,11,3,821109.3304215966
1597,4,1,48,4,541900.4059236979
1815,1,2,14,4,564602.9596627802
2624,1,1,30,3,594229.3016840089
3936,5,2,48,2,823349.118416861
2993,4,1,28,3,717772.6494655452
1023,3,3,25,3,444428.91950157937
4958,4,3,17,3,1058881.7842188485
4725,1,2,31,2,875470.2008384744
4800,1,1,21,1,835629.0066373632
2433,4,4,37,1,593736.8225320181
2952,4,1,16,4,775583.8773574623
1310,1,3,22,4,467590.92400405096
1184,3,3,23,2,412844.75776308094
1204,5,1,49,5,530331.2360145005
2800,5,1,7,1,665667.233245293
3556,4,4,40,4,863815.2958723952
2468,5,4,5,1,674503.8551497539
2260,1,1,4,2,538795.2409589427
4436,1,1,43,2,800867.2911952607
3524,4,1,28,5,854552.9436825905
4978,4,1,27,5,1107280.3415704907
2848,4,2,10,2,692237.2375806677
4946,3,1,0,4,1049741.0267010664
1516,5,4,42,1,469671.72409287636
2623,4,3,18,3,737402.9279829502
2881,2,2,8,5,795123.9074345261
4219,2,1,26,3,845981.5382843285
2374,1,3,33,4,608136.0124560685
1049,5,2,43,5,545444.7402358535
1473,4,3,3,3,553748.1483097434
2965,2,1,35,4,715192.9878104498
1570,5,1,17,1,448470.2493114851
4762,1,4,14,4,1034972.4936304279
2784,3,1,12,5,802627.3106009035
1877,5,1,18,2,558782.5153366639
1035,5,2,48,1,362528.67239003844
1188,3,4,5,3,502452.74293420056
3837,5,2,47,5,959199.9029873019
2648,1,3,11,2,622909.6136867822
3614,1,1,36,4,769690.2983107305
4174,3,3,16,2,879778.3406349997
4078,4,2,22,5,1001467.9685282162
2052,2,1,25,5,618273.237107827
4781,4,1,28,2,926563.0167817385
2922,5,2,32,4,802144.6175542651
2950,2,2,26,2,641584.9404221693
2129,3,2,24,5,688853.6070415486
2158,3,2,9,5,692695.9954034125
3282,2,2,46,3,735612.3194821958
2817,1,1,22,3,615398.3932818223
2131,2,2,20,1,506330.6042602684
2158,5,1,20,5,695485.4523525761
3977,1,1,42,3,789071.5509683534
2928,3,2,12,2,685331.4602378993
2980,2,2,36,4,715066.6439808868
937,4,4,32,2,426915.90906791517
4272,4,1,23,4,984992.7800464024
3632,5,2,43,3,814547.717409689
4379,4,2,10,1,885391.1721123622
3831,2,2,16,2,747250.9376950489
4964,2,4,3,2,989115.0279471519
3393,4,4,46,2,799387.4954735142
4618,2,3,24,4,993973.2694991191
4938,5,1,29,3,1022091.8005338655
4623,1,3,8,2,901480.9340652297
4842,5,2,20,2,1038318.5950724533
2706,5,4,19,1,651424.7662919096
1560,2,4,18,1,417230.35132540984
4245,1,3,18,3,905211.4752476944
1699,2,4,11,3,578715.535153066
3747,3,2,36,5,910498.5316356458
2519,2,4,41,1,535264.2094621004
1080,2,3,16,5,556437.6525271374
4066,2,2,36,4,913816.635876238
2687,1,3,47,5,720234.2048164335
4066,2,4,38,2,821713.9647659387
1466,1,3,27,5,546164.5598874295
4988,4,3,40,3,1044794.5987843275
1471,3,1,34,4,514612.76956923364
2769,1,4,46,2,628115.0215719701
4956,4,4,47,5,1156591.2556170612
3922,1,3,17,4,864139.3588452287
4700,1,1,13,4,985647.446750293
1323,3,4,34,2,456146.98210019735
3193,5,2,43,5,882255.9869378838
3917,5,3,40,4,978548.112889179
3393,1,4,6,4,813276.2962572967
2768,2,2,40,1,555662.616319403
2553,4,4,12,4,764978.1817296118
3096,2,2,17,1,604882.1086195181
3061,2,3,36,5,807350.6496640738
3086,1,4,12,5,860573.3482737663
3678,1,4,35,5,861098.8338324137
4943,1,1,30,3,938965.790834258
4444,1,3,1,5,1029208.1440261216
2855,5,2,15,4,806096.1730248427
2076,1,4,8,2,538703.0792122639
3566,5,4,8,1,799411.7545483126
1102,5,2,37,3,477791.8011441025
1438,1,3,10,5,548348.5403447611
855,3,1,21,5,442401.1744253217
1325,4,1,32,2,442668.883307706
4923,2,4,35,2,979825.7872976307
2925,5,2,44,3,741524.9146527662
4087,4,4,22,1,861486.1203230856
1164,3,2,44,5,532714.7701907334
2446,2,1,44,3,579265.0948516713
1718,2,3,33,4,572260.2633214197
3597,5,2,8,4,918087.7669868922
2331,1,1,23,3,574329.7560786091
4145,3,4,7,5,1041561.7858889903
2706,5,2,6,3,748810.7791540881
3886,3,3,35,5,932849.0836693195
2875,1,4,17,2,655554.3378145256
1513,1,4,2,3,494470.6762375832
1862,5,1,27,5,660725.7591020726
2776,1,2,5,3,645169.3655752582
2096,4,4,43,3,612406.4760215116
925,2,3,43,5,506621.5710452544
4396,5,2,20,5,1095370.0859298261
4083,3,3,27,1,838255.5125321639
2403,4,4,39,3,660106.5747066665
866,5,3,0,4,539968.8062486633
1032,1,1,35,3,328397.38562193856
2956,1,3,20,3,676964.576842044
1969,1,2,42,5,575578.0952487513
2958,1,3,34,3,692293.7600966234
2293,3,3,12,3,640006.5548284736
4807,4,1,48,4,1037075.6900054102
3272,2,3,9,5,869861.8133438277
3460,3,3,43,3,824554.5812815719
3539,3,4,46,2,749658.3366529042
2561,2,4,9,1,611038.498596802
4314,2,2,45,4,935296.6130560109
2775,1,4,12,3,671649.3174295945
3162,3,4,36,2,740407.0000470974
1676,5,4,37,3,601442.1744453934
4612,2,4,23,3,972387.8561006989
4248,2,1,1,5,966840.96769542
2112,4,4,21,5,732013.3582282622
2260,5,1,16,5,771747.1814367889
3509,5,1,35,2,774360.2422843622
3124,2,4,13,3,774331.9500229718
2533,1,3,9,1,533086.5092749867
2405,4,1,34,4,663052.2058066754
3363,5,3,24,5,950679.7721387491
4221,2,3,2,5,989906.356826727
4317,5,4,46,3,977321.793481421
3197,4,2,37,3,764060.4111660835
4535,4,4,16,2,977920.5890276008
3670,3,2,11,2,787813.6007247576
1960,2,2,23,5,637937.2967164388
1042,4,4,28,3,495692.8363372672
3390,3,4,42,1,719519.56318189
1863,3,2,24,4,581662.9428699826
3395,5,4,35,3,851987.673531068
1719,5,2,25,3,596771.442928154
805,3,3,37,2,366169.7078136081
1267,5,4,0,4,596457.108227784
4970,4,3,19,5,1160772.198505283
803,1,1,27,3,291776.62125937786
1445,4,3,15,5,631454.0235309056
917,3,3,46,3,434016.50525118964
3728,3,2,16,5,914981.6092409652
3351,4,3,39,4,835135.1543176263
1646,5,4,27,2,568360.4467235929
3562,5,2,11,4,891157.9772718553
1941,3,1,26,1,443658.6745517244
2610,2,4,41,2,621446.6170637263
1523,5,1,46,4,545935.7122846589
1024,4,3,29,1,370060.4501918354
2848,5,4,40,3,780362.7856547255
2373,4,4,33,3,686273.1912530484
2628,3,1,36,5,730202.2759444311
2717,5,4,5,2,734463.1658109494
2826,4,4,6,3,780450.9167290343
4544,3,4,31,2,935744.0097985036
1701,2,3,31,3,520017.0841488868
2839,4,1,24,5,787396.0196232303
809,2,4,32,4,438611.4653843069
1060,2,2,6,5,499150.6331117198
2473,1,2,11,1,515424.8858499065
3019,5,2,15,3,771684.9870455674
2860,4,2,15,1,628289.3032475701
4513,2,3,42,1,837829.9172178308
2419,1,4,35,2,568041.096637865
1120,3,1,12,3,445743.10602422856
2142,4,4,6,1,575833.1164563735
3176,2,3,35,4,781520.7927025513
3632,5,2,46,1,763061.9635841049
3624,1,3,8,4,851271.607117474
2794,2,4,31,2,637715.1947579678
3758,5,1,10,1,793940.4522340678
2838,2,3,7,5,803162.1044408199
4290,4,1,32,2,869607.6770036191
4477,4,3,22,4,1002252.8351244337
1918,4,1,24,2,524107.3443596022
2404,1,1,7,1,524787.9655909586
4827,4,2,44,3,995649.4109686452
1035,5,1,21,3,451328.84353217017
2769,2,2,3,4,733950.228395671
2708,3,4,39,4,748885.6731569986
1175,5,4,2,3,574141.0274812463
4330,5,2,28,4,993631.9776613667
3435,4,2,40,2,762220.7037886248
2370,1,3,28,5,690356.3309187719
3360,2,3,33,5,847867.8019458918
4191,1,3,33,2,819730.3097688253
3765,2,4,27,5,950191.8622239754
4443,2,3,12,1,866534.7307004267
